[30, -34]
[4, -39]
[19, 5]
[-41, -9]
[-13, 47]
[6, -10]
[-40, -29]
[-4, -46]
[18, 46]
[-50, -33]
[-50, -45]
[-49, 22]
[-32, 20]
[36, -22]
[32, 12]
[-27, 28]
[3, 23]
[31, -18]
[5, 28]
[8, -15]
[-38, -4]
[-29, -15]
[24, 29]
[12, 48]
[-41, 14]
[39, 24]
[4, -10]
[-34, -4]
[28, 27]
[37, 6]
[-2, 21]
[-30, -40]
[9, 2]
[40, -30]
[-26, 22]
[38, 12]
[23, -45]
[35, 45]
[-10, -1]
[-39, 42]
[-24, -14]
[-10, 42]
[34, 50]
[23, 7]
[-16, -17]
[26, -28]
[-42, -45]
[33, 41]
[-3, -8]
[13, -4]
[44, -5]
[-39, -17]
[27, 18]
[9, 47]
[32, 30]
[15, 27]
[9, 27]
[21, 20]
[20, -46]
[36, 18]
[33, -49]
[-10, 28]
[-43, -18]
[-8, -48]
[23, 30]
[-1, 14]
[11, 8]
[13, 38]
[-20, -38]
[14, -8]
[-44, -34]
[-5, 37]
[50, -38]
[-33, -5]
[40, -16]
[2, 24]
[1, 16]
[-38, 9]
[48, 46]
[41, -48]
[-14, -9]
[-31, -44]
[-6, 22]
[-12, 25]
[42, 3]
[50, 30]
[38, -46]
[-35, -27]
[0, -11]
[34, 24]
[-12, 26]
[16, 32]
[47, 17]
[7, 33]
[23, -9]
[-23, -20]
[37, 15]
[8, 36]
[-30, -37]
[18, 23]
